Site,Model,Horizon,RMSE,MAE,R2
UK-AMo,LSTM,29,2.81129,1.89013,0.41013
UK-AMo,LSTM,30,2.85322,1.92407,0.3924
UK-AMo,LSTM,31,2.86873,1.9379,0.38578
UK-AMo,LSTM,32,2.89125,1.95955,0.3761
UK-AMo,LSTM,33,2.86913,1.94923,0.38561
UK-AMo,LSTM,34,2.83692,1.93912,0.39932
UK-AMo,LSTM,35,2.83731,1.93057,0.39915
UK-AMo,LSTM,36,2.83484,1.92116,0.40021
UK-AMo,LSTM,37,2.82174,1.91069,0.40575
UK-AMo,LSTM,38,2.78897,1.88381,0.41947
UK-AMo,LSTM,39,2.77787,1.87694,0.42407
UK-AMo,LSTM,40,2.80186,1.9033,0.41409
UK-AMo,LSTM,41,2.81503,1.90571,0.40857
UK-AMo,LSTM,42,2.79492,1.88834,0.41699
UK-AMo,LSTM,43,2.81759,1.90237,0.40749
UK-AMo,LSTM,44,2.84756,1.91372,0.39482
UK-AMo,LSTM,45,2.84314,1.90668,0.39669
UK-AMo,LSTM,46,2.83,1.90132,0.40226
UK-AMo,LSTM,47,2.83853,1.90345,0.39866
UK-AMo,LSTM,48,2.8735,1.91738,0.38375
UK-AMo,LSTM,49,2.89024,1.93092,0.37655
UK-AMo,LSTM,50,2.88102,1.92478,0.38053
UK-AMo,LSTM,51,2.86689,1.91863,0.38659
UK-AMo,LSTM,52,2.86935,1.91181,0.38553
UK-AMo,LSTM,53,2.9057,1.92372,0.36987
UK-AMo,LSTM,54,2.91502,1.93032,0.36583
UK-AMo,LSTM,55,2.93369,1.94479,0.35769
UK-AMo,LSTM,56,2.93203,1.96059,0.35842
UK-AMo,LSTM,57,2.9038,1.95128,0.37072
UK-AMo,LSTM,58,2.8745,1.92454,0.38336
UK-AMo,LSTM,59,2.86213,1.90303,0.38866
UK-AMo,LSTM,60,2.86286,1.8923,0.38835
UK-AMo,LSTM,61,2.8594,1.89611,0.38982
UK-AMo,LSTM,62,2.87452,1.9183,0.38334
UK-AMo,LSTM,63,2.90585,1.9504,0.36982
UK-AMo,LSTM,64,2.94825,1.98604,0.3513
UK-AMo,LSTM,65,3.00288,2.02918,0.32704
UK-AMo,LSTM,66,3.01506,2.0475,0.32159
UK-AMo,LSTM,67,3.02335,2.05322,0.31786
UK-AMo,LSTM,68,3.05602,2.07314,0.30306
UK-AMo,LSTM,69,3.0663,2.07491,0.29835
UK-AMo,LSTM,70,3.06305,2.07717,0.29984
UK-AMo,LSTM,71,3.10641,2.08591,0.27988
UK-AMo,LSTM,72,3.16186,2.10142,0.25395
UK-AMo,LSTM,73,3.20513,2.11164,0.23339
UK-AMo,LSTM,74,3.19187,2.10695,0.23972
UK-AMo,LSTM,75,3.16861,2.1059,0.25076
UK-AMo,LSTM,76,3.20616,2.13417,0.23289
UK-AMo,LSTM,77,3.24163,2.15846,0.21583
UK-AMo,LSTM,78,3.27666,2.17724,0.19878
UK-AMo,LSTM,79,3.26467,2.17259,0.20464
UK-AMo,LSTM,80,3.2614,2.18728,0.20622
UK-AMo,LSTM,81,3.26262,2.1877,0.20563
UK-AMo,LSTM,82,3.2329,2.16325,0.22003
UK-AMo,LSTM,83,3.22817,2.15221,0.2223
UK-AMo,LSTM,84,3.24031,2.16531,0.21643
UK-AMo,LSTM,85,3.23562,2.18348,0.21869
UK-AMo,LSTM,86,3.21422,2.1834,0.22899
UK-AMo,LSTM,87,3.20896,2.18907,0.23151
UK-AMo,LSTM,88,3.22926,2.19695,0.22175
UK-AMo,LSTM,89,3.23399,2.20296,0.21947
UK-AMo,LSTM,90,3.22012,2.19307,0.22616
UK-AMo,LSTM,91,3.23754,2.19498,0.21776
UK-AMo,LSTM,92,3.25133,2.1963,0.21108
UK-AMo,LSTM,93,3.28144,2.21855,0.19641
UK-AMo,LSTM,94,3.28041,2.21954,0.19691
UK-AMo,LSTM,95,3.25498,2.19689,0.20932
UK-AMo,LSTM,96,3.22799,2.18558,0.22237
UK-AMo,TEMPO Zero-Shot,1,1.58058,1.00538,0.81355
UK-AMo,TEMPO Zero-Shot,2,2.04729,1.27058,0.68718
UK-AMo,TEMPO Zero-Shot,3,2.26304,1.36627,0.61777
UK-AMo,TEMPO Zero-Shot,4,2.41784,1.45816,0.56367
UK-AMo,TEMPO Zero-Shot,5,2.51747,1.52334,0.52698
UK-AMo,TEMPO Zero-Shot,6,2.54179,1.5461,0.5178
UK-AMo,TEMPO Zero-Shot,7,2.55881,1.55869,0.51132
UK-AMo,TEMPO Zero-Shot,8,2.62899,1.60247,0.48415
UK-AMo,TEMPO Zero-Shot,9,2.64779,1.6096,0.47674
UK-AMo,TEMPO Zero-Shot,10,2.67332,1.63399,0.4666
UK-AMo,TEMPO Zero-Shot,11,2.7424,1.68105,0.43866
UK-AMo,TEMPO Zero-Shot,12,2.66681,1.61831,0.46917
UK-AMo,TEMPO Zero-Shot,13,2.62843,1.60129,0.48434
UK-AMo,TEMPO Zero-Shot,14,2.596,1.58577,0.49698
UK-AMo,TEMPO Zero-Shot,15,2.55904,1.5675,0.51119
UK-AMo,TEMPO Zero-Shot,16,2.55183,1.56746,0.51394
UK-AMo,TEMPO Zero-Shot,17,2.50368,1.54522,0.53211
UK-AMo,TEMPO Zero-Shot,18,2.48286,1.54252,0.53986
UK-AMo,TEMPO Zero-Shot,19,2.44272,1.51322,0.55463
UK-AMo,TEMPO Zero-Shot,20,2.4166,1.49499,0.56412
UK-AMo,TEMPO Zero-Shot,21,2.37651,1.4615,0.57846
UK-AMo,TEMPO Zero-Shot,22,2.35163,1.42917,0.58724
UK-AMo,TEMPO Zero-Shot,23,2.36869,1.45001,0.58123
UK-AMo,TEMPO Zero-Shot,24,2.43452,1.47787,0.55764
UK-AMo,TEMPO Zero-Shot,25,2.55052,1.53835,0.51448
UK-AMo,TEMPO Zero-Shot,26,2.62357,1.58114,0.48627
UK-AMo,TEMPO Zero-Shot,27,2.65936,1.60885,0.47216
UK-AMo,TEMPO Zero-Shot,28,2.75911,1.6686,0.43182
UK-AMo,TEMPO Zero-Shot,29,2.78953,1.69793,0.41922
UK-AMo,TEMPO Zero-Shot,30,2.84894,1.74702,0.39422
UK-AMo,TEMPO Zero-Shot,31,2.84162,1.72394,0.39733
UK-AMo,TEMPO Zero-Shot,32,2.88461,1.74923,0.37896
UK-AMo,TEMPO Zero-Shot,33,2.93685,1.78593,0.35626
UK-AMo,TEMPO Zero-Shot,34,2.89702,1.75554,0.3736
UK-AMo,TEMPO Zero-Shot,35,2.91533,1.76208,0.36565
UK-AMo,TEMPO Zero-Shot,36,2.93005,1.77568,0.35924
UK-AMo,TEMPO Zero-Shot,37,2.89633,1.76327,0.37391
UK-AMo,TEMPO Zero-Shot,38,2.853,1.74321,0.3925
UK-AMo,TEMPO Zero-Shot,39,2.85776,1.76093,0.39047
UK-AMo,TEMPO Zero-Shot,40,2.85991,1.75263,0.38956
UK-AMo,TEMPO Zero-Shot,41,2.81669,1.72715,0.40787
UK-AMo,TEMPO Zero-Shot,42,2.78012,1.71081,0.42315
UK-AMo,TEMPO Zero-Shot,43,2.74488,1.68088,0.43768
UK-AMo,TEMPO Zero-Shot,44,2.76457,1.6903,0.42958
UK-AMo,TEMPO Zero-Shot,45,2.76864,1.69912,0.4279
UK-AMo,TEMPO Zero-Shot,46,2.7894,1.69386,0.41929
UK-AMo,TEMPO Zero-Shot,47,2.84756,1.73165,0.39482
UK-AMo,TEMPO Zero-Shot,48,2.84469,1.72808,0.39605
UK-AMo,TEMPO Zero-Shot,49,2.89148,1.75999,0.37602
UK-AMo,TEMPO Zero-Shot,50,2.96289,1.81286,0.34482
UK-AMo,TEMPO Zero-Shot,51,2.96995,1.80349,0.3417
UK-AMo,TEMPO Zero-Shot,52,3.02042,1.84139,0.31913
UK-AMo,TEMPO Zero-Shot,53,3.03822,1.86111,0.31109
UK-AMo,TEMPO Zero-Shot,54,3.00701,1.83739,0.32517
UK-AMo,TEMPO Zero-Shot,55,3.02135,1.84575,0.31873
UK-AMo,TEMPO Zero-Shot,56,3.03114,1.84556,0.31432
UK-AMo,TEMPO Zero-Shot,57,3.05188,1.86124,0.3049
UK-AMo,TEMPO Zero-Shot,58,3.00772,1.82735,0.32488
UK-AMo,TEMPO Zero-Shot,59,2.99184,1.8334,0.33199
UK-AMo,TEMPO Zero-Shot,60,2.99161,1.849,0.3321
UK-AMo,TEMPO Zero-Shot,61,3.04187,1.92529,0.30946
UK-AMo,TEMPO Zero-Shot,62,3.09813,1.94817,0.28367
UK-AMo,TEMPO Zero-Shot,63,3.0712,1.93289,0.29606
UK-AMo,TEMPO Zero-Shot,64,3.0237,1.88129,0.31767
UK-AMo,TEMPO Zero-Shot,65,3.00522,1.88658,0.32599
UK-AMo,TEMPO Zero-Shot,66,2.97571,1.8427,0.33918
UK-AMo,TEMPO Zero-Shot,67,2.96494,1.8334,0.34396
UK-AMo,TEMPO Zero-Shot,68,2.95318,1.83505,0.34918
UK-AMo,TEMPO Zero-Shot,69,2.96176,1.80989,0.34538
UK-AMo,TEMPO Zero-Shot,70,3.00322,1.82671,0.32692
UK-AMo,TEMPO Zero-Shot,71,3.03517,1.8505,0.31253
UK-AMo,TEMPO Zero-Shot,72,3.03861,1.85063,0.31097
UK-AMo,TEMPO Zero-Shot,73,3.11068,1.90079,0.2779
UK-AMo,TEMPO Zero-Shot,74,3.15539,1.9439,0.257
UK-AMo,TEMPO Zero-Shot,75,3.16309,1.94383,0.25337
UK-AMo,TEMPO Zero-Shot,76,3.14876,1.9298,0.26011
UK-AMo,TEMPO Zero-Shot,77,3.1831,1.95851,0.24389
UK-AMo,TEMPO Zero-Shot,78,3.15731,1.94912,0.25609
