Config,Group,Label,Model,Site,N_train,CI_lo,CI_hi,R2,RMSE,R2_h1,R2_h24,R2_h96,R2_mean
B_loo_0_FILom,LOO,LOO: −FI-Lom,LSTM,SE-Htm,5000,0.06061253845691681,0.07210288196802139,0.06551867723464966,7.032727241516113,0.06569892168045044,0.06519275903701782,0.04078865051269531,0.06556335836648941
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,Random Forest,UK-AMo,5000,0.5627372090030965,0.5813923232946033,0.5720231135584155,2.3946724283147365,0.7154842527607504,0.622408557978566,0.4936784709974614,0.5720264954640727
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,Random Forest,SE-Htm,5000,0.3117612556075625,0.31977692940248276,0.31558891220263063,6.018620757487897,0.38548824280917515,0.32795193773184217,0.2611287356558546,0.31587848450058287
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,XGBoost,UK-AMo,5000,0.5363768748939037,0.5512541413307189,0.5439891815185547,2.471858024597168,0.767765998840332,0.608009546995163,0.4218432903289795,0.5439932132139802
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,XGBoost,SE-Htm,5000,0.35312592685222627,0.3601863250136375,0.35680240392684937,5.834594249725342,0.46757787466049194,0.4175003170967102,0.21835440397262573,0.35712979423503083
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,LSTM,UK-AMo,5000,0.42551627606153486,0.443580687046051,0.43435633182525635,2.753007650375366,0.5135772526264191,0.4400920271873474,0.34416407346725464,0.43435900192707777
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,LSTM,SE-Htm,5000,0.14321796149015426,0.15659326016902922,0.14950835704803467,6.709242343902588,0.1589430570602417,0.16621845960617065,0.11807882785797119,0.14959918024639288
B_loo_2_IECra,LOO,LOO: −IE-Cra,Random Forest,UK-AMo,5000,0.4915329170468101,0.5121164138529162,0.5029154964877055,2.5807804999308503,0.6601481907377131,0.5278490991356318,0.409348098500787,0.5029183337022444
B_loo_2_IECra,LOO,LOO: −IE-Cra,Random Forest,SE-Htm,5000,0.22051968095277416,0.23378163948065322,0.2268567697766115,6.396883464498921,0.35434063796299853,0.2686475082992583,0.19161274669795003,0.22713882991539458
B_loo_2_IECra,LOO,LOO: −IE-Cra,XGBoost,UK-AMo,5000,0.5082561664283276,0.5231542713940144,0.5160421133041382,2.5464768409729004,0.7527942955493927,0.6088979542255402,0.3943549394607544,0.5160463210195303
B_loo_2_IECra,LOO,LOO: −IE-Cra,XGBoost,SE-Htm,5000,0.33659844994544985,0.3446071147918701,0.34047645330429077,5.908178806304932,0.4832049608230591,0.389829158782959,0.2687014937400818,0.34092534768084687
B_loo_2_IECra,LOO,LOO: −IE-Cra,LSTM,UK-AMo,5000,0.5099684111773968,0.5310769818723201,0.5205414593219757,2.534611940383911,0.6004493534564972,0.5539245903491974,0.43278688192367554,0.5205442979931831
B_loo_2_IECra,LOO,LOO: −IE-Cra,LSTM,SE-Htm,5000,0.20515216737985612,0.22084571570158004,0.21260756254196167,6.455562591552734,0.2382933497428894,0.24502474069595337,0.20092791318893433,0.21269497772057852
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,Random Forest,UK-AMo,5000,0.35132431206507037,0.36020446885354246,0.3562531237742673,2.936929514770415,0.5841875550488432,0.4614568811618083,0.3315258656885137,0.3562560853507693
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,Random Forest,SE-Htm,5000,0.2441233134254949,0.25281773026457416,0.24811236614239252,6.3083376602464725,0.3896418358241722,0.3002857061486265,0.19395493710923228,0.24844432270405994
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,XGBoost,UK-AMo,5000,0.3727469742298126,0.3822320833802223,0.3781883716583252,2.8864588737487793,0.6697694063186646,0.45692968368530273,0.2778792381286621,0.3781927690530817
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,XGBoost,SE-Htm,5000,0.36577257961034776,0.37451225966215135,0.3699607849121094,5.774604797363281,0.4322878122329712,0.4174461364746094,0.3751005530357361,0.37011659517884254
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,LSTM,UK-AMo,5000,0.4257997408509254,0.4392578288912773,0.4324108362197876,2.7577381134033203,0.5358563661575317,0.481667160987854,0.3757067918777466,0.4324132998784383
